"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: HOWARD"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"GRIFFIN PETROLEUM COMPANY",333925,0,0,0,0
"GTG OPERATING, LLC",337080,33362,0,0,0
"H2O MIDSTREAM PERMIAN LLC",421542,0,0,0,0
"HAIMO OIL & GAS LLC",343095,7176,36087,0,0
"HALL OIL AND GAS LLC",100362,2281,0,0,0
"HANKAMER, CURTIS CORPORATION,THE",354081,3322,553,0,0
"HANNATHON PETROLEUM, LLC",354954,2792968,10510203,0,0
"HARTOIL CORPORATION",362980,0,0,0,0
"HATCH, TUCKER ROY",102106,596,0,0,0
"HAYABUSA ENERGY USA, LLC",368327,2871,0,0,0
"HELMS OIL & GAS, LLC",374347,5352,0,0,0
"HEXP OPERATING, LLC",383192,8261,30246,0,0
"HIBERNIA RESOURCES IV, LLC",101969,688987,5442148,79650,814
"HIGH DESERT RESOURCES, L.L.C.",385535,18185,0,0,0
"HIGHPEAK ENERGY HOLDINGS, LLC",385826,59022499,94134601,271591,2189
"HOG OPERATING LLC",100155,1112440,1924383,0,0
"HX OIL",421129,4279,0,0,0
"INTEGRAS OPERATING, LLC",424791,0,0,0,0
"JAY MANAGEMENT COMPANY, LLC",430368,0,0,0,0
"JOHNSON OPERATING COMPANY, LLC.",101471,3955,0,0,0
"JTEX OIL COMPANY, LLC",448051,14289,4306,0,0
"KARICO GP, LLC",451075,0,0,0,0
"KEELEY OIL, L.L.C.",453380,14701,0,0,0
"KEM ENERGY, INC.",455126,6720,3297,0,0
"KEY ENERGY SERVICES, LLC",458534,0,0,0,0
"LACKEY, WILLIAM H. OIL AND GAS",480868,24555,244562,30550,760
"LAKE CRYSTAL OPERATING LLC",482984,75108,144859,0,0
"LAKEWOOD OPERATING, LTD.",483615,14121,15189,0,0
"LANDMARK IP, LLC",484651,22785,0,0,0
"LANGFORD & BRIGHAM OPERATING LLC",102718,1772457,5229302,0,0
"LAREDO PETROLEUM, INC.",486610,22580937,34260770,6713,0
"LEGACY RESERVES OPERATING LP",495445,4276966,18444319,188485,3662
"LONE TREE ENVIRO SYSTEMS LLC",507472,0,0,0,0
"LOS HIJOS DE SANCHEZ J LLC",103198,0,0,0,0
"LYNX OPERATING CO., INC.",516255,0,0,0,0
"M2 SQUARED OPERATING, LLC",519348,20,0,0,0
"MANHATTAN PETROLEUM, INC.",524391,0,0,0,0
"MARSHCO PRODUCTION LLC",527867,2944,0,0,0
"MAVERICK OPERATING, LLC",534209,59,0,0,0
"MCALMOND OIL COMPANY",537277,0,0,0,0
"MCCLURE OIL COMPANY, INC.",540703,22106,0,0,0
"MCDONNOLD OPERATING, INC.",548163,0,0,0,0
"MES LENORAH, LLC",561445,0,0,0,0
"MID RIVER MIDSTREAM LLC",102578,0,0,0,0
"MIDLAND OIL AND GAS, INC.",565589,32073,14813,0,0
"MIDWAY ENERGY PARTNERS OPERATING",102141,1084,698,0,0
"MILESTONE WATERHORSE, LLC",102329,0,0,0,0
"MILLENNIUM RESOURCES, LP",567484,14962,0,0,0
"MINERAL TECHNOLOGIES, INC.",593635,8075,99391,0,0
"MORITA SERVICES, LLC",586575,0,0,0,0
"MOSS PETROLEUM COMPANY",590920,33476,0,0,0
"MSD OPERATING, LLC",592471,9838,0,0,0
"MULE KICK OPERATING LLC",103527,26140,1895,729,0
"MULLOY OPERATING, INC.",593077,22611,0,0,0
"MURCHISON OIL AND GAS, LLC",593667,8609863,9974391,0,0
"NEW HEIGHT ENERGY, LLC",100152,186713,1685393,1886,0
"NGL WATER SOLUTIONS PERMIAN, LLC",609265,0,0,0,0
"O'RYAN OIL AND GAS",617042,3500,0,0,0
"OAK ENERGY, LLC",617101,22332,92038,0,0
"OAK PRAIRIE OPERATIONS, LLC",617011,175964,0,0,0
"OCCIDENTAL PERMIAN LTD.",617544,5025036,17254547,0,0
"OGRIS OPERATING, LLC",100985,0,0,0,0
"OGX OPERATING, LLC",617106,0,0,0,0
"ON POINT OILFIELD OPERATIONS LLC",622908,0,0,0,0
"ONEOK NGL PIPELINE, L.L.C.",623798,0,0,0,0
"OTB OPERATING, LLC",628102,28110,43300,0,0
"OUTLAW WATER SERVICES LLC",102717,0,0,0,0
"OVERFLOW ENERGY PERMIAN, LLC",628566,0,0,0,0
"OVINTIV USA INC.",628658,58785297,141817014,0,0
"OWL OPS LLC",100332,43316,529938,0,0
"OXY USA INC.",630591,36956475,92676837,0,0
"OXYROCK OPERATING, LLC",102324,20671931,86979743,0,0
"OZARK EXPLORATION, INC.",630611,142856,29177,0,0
"P & K WOODS, LLC",631128,0,0,0,0
"P4 OPERATING, LLC",631638,10364,0,0,0
"PALADIN PETROLEUM III, L.L.C.",635107,262805,627970,0,0
"PARSLEY ENERGY OPERATIONS, LLC",642652,2319664,3056206,0,0
"PARTEE DRILLING INC.",642702,124397,830005,0,0
"PERIMETER RESOURCE COMPANY",653651,1498,0,0,0
PETEX,659782,24767,0,0,0
"PETRO WASTE ENVIRONMENTAL LP",660029,0,0,0,0
"PETROPLEX ENERGY INC.",660886,46763,1151,0,0
"PILOT WATER SOLUTIONS PERMIANLLC",665593,0,0,0,0
"PIONEER NATURAL RES. USA, INC.",665748,5112870,10789441,0,0
"PLATFORM OPERATING, LLC",667928,0,0,0,0
"PROBITY SWD, LLC",679304,0,0,0,0
"PWS-ES, LLC",100608,0,0,0,0
"QP, INC.",684489,1617,2066,0,0
"R & C OIL COMPANY LLC",685863,15617,0,0,0
"RATTLER MIDSTREAM OPERATING LLC",694704,0,0,0,0
"RCW OIL, LLC",695696,32165,24,0,0
"RED HIGHLAND RESOURCES LLC",103722,17528,63411,0,0
"RED ROCK OILFIELD SERVICE LLC",102091,3961,0,0,0
"REIN PUSHER OPERATING LLC",700148,14507,0,0,0
"RETURN DISPOSAL, LLC",703562,0,0,0,0
"ROBERT C. BROWER, LLC",100445,2901,0,0,0
"ROBERTSON RESOURCES, INC.",718770,19164,0,0,0
"ROCKIN' D, LLC",723421,16356,826,0,0
"ROVER PETROLEUM OPERATING, LLC",730462,1439345,13748,0,0
"ROYALTY RESOURCES, L.L.C.",732124,0,0,0,0
"RP OPERATING, L.L.C.",732229,24723,25179,0,0
"RRIG EXPLORATION, LLC",732177,0,0,0,0
"SABALO OPERATING, LLC",741939,5973802,5492142,0,0
"SABINAL ENERGY OPERATING, LLC",742122,757977,3504,0,0
"SAGA PETROLEUM LLC OF COLORADO",743213,0,0,0,0
"SAHARA OPERATING COMPANY",743279,124234,0,0,0
"SCHLACHTER OPERATING CORPORATION",753981,8,0,0,0
"SCOUT ENERGY MANAGEMENT LLC",760218,1199195,4237315,5228,0
"SEELY OIL COMPANY",763148,12048,1582,0,0
"SELECT AGUA LIBRE MIDSTREAM, LLC",765601,0,0,0,0
"SELECT WATER SOLUTIONS, LLC",101691,0,0,0,0
"SEQUOIA NATURAL GAS, INC.",767543,0,0,0,0
"SHAMROCK UPSTREAM ENERGY LLC",769112,0,0,0,0
"SHARP IMAGE ENERGY, INC.",770731,54259,98668,0,0
"SHENANDOAH PETROLEUM CORPORATION",775563,42269,0,0,0
"SHENANDOAH RESOURCES LLC",775564,2534,0,0,0
"SHERIDAN PRODUCTION COMPANY, LLC",775854,68059,2269,0,0
"SINCLAIR OIL & GAS COMPANY",784548,1252816,1043270,0,0
"SKEETER OIL L.L.C.",102434,8497,0,0,0
"SM ENERGY COMPANY",788997,100728527,322700401,588356,2400
"SMC OIL & GAS, INC.",789634,163597,175025,0,0
"SOGC, INC.",100424,2997875,3816237,0,0
"SOGC, LLC",102526,2070138,5916053,0,0
"SOJOURNER DRILLING CORPORATION",800750,12,0,0,0
"SOLA OPERATING, LLC",100108,816,0,0,0
"SOUTHSTONE ENERGY, LLC",806004,0,0,0,0
"SOUTHWEST ROYALTIES, INC.",806470,53079,113738,0,0
"SPIRIT O&G OPERATING, LLC",809921,1171823,4117907,0,0
"ST. CAJETAN OIL COMPANY, LLC",810888,0,0,0,0
"STERLING OIL AND GAS LLC",102250,0,0,0,0
"SUNDOWN ENERGY LP",829482,0,0,0,0
"SURGE OPERATING, LLC",760725,85866772,272535646,0,0
"SUTTON OIL CO.",831235,13908,0,0,0
"SWEET CRUDE OPERATING LLC",833242,95408,0,0,0
"TALL CITY BRINE LLC",835516,0,0,0,0
"TC OIL AND GAS, LLC",840303,0,0,0,0
"THREE SPAN OIL & GAS, INC.",857911,0,0,0,0
"TREK RESOURCES, INC.",867578,342437,104575,0,0
"TRILOGY OPERATING, INC.",869713,169265,399164,0,0
"TRINITY ENVIRO SWD I, L.L.C.",869989,0,0,0,0
"TRITON OPERATING LLC",871166,596,0,0,0
"UNITED OIL & SHALE LLC",103207,11149,0,0,0
"UNITEX OIL & GAS, L.L.C.",877921,168641,0,0,0
"V-F PETROLEUM INC.",880375,11505,53466,0,0
"VAION ENERGY TEXAS OIL OPERATION",103973,0,0,0,0
"VELOCITY WATER SOLUTIONS, LP",884481,0,0,0,0
"VISION NATURAL RESOURCES, LP",886256,1483,0,0,0
"VISION OIL AND GAS LLC",886198,0,0,0,0
"VITAL ENERGY, INC.",100951,33430388,94385041,3242,0
"WAGNER OIL COMPANY",891175,108819,39772,0,0
"WALSH & WATTS, INC.",895060,524684,57881,0,0
"WASH, ROBERT C. INC.",899038,122423,377,0,0
"WATER ENERGY SERVICES, LLC",900331,0,0,0,0
"WHETSTONE RESOURCES, LLC",915225,16407,0,0,0
"WHITE RIVER OPERATING LLC",916952,0,0,0,0
"WHITING OIL AND GAS CORPORATION",920478,46765,729505,196617,912
"WICHITA WATER LLC",921665,0,0,0,0
"WILSON SYSTEMS, INC.",930380,0,0,0,0
"WINN OPERATING, LLC",100109,47535,0,0,0
"WTG GAS PROCESSING, L.P.",945227,0,0,0,0
Total,,711870244,2010562197,1511573,12475
