"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: REEVES"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"LINEAGE OIL, LLC",501397,8030,0,0,0
"LINOP CORPORATION",501665,0,0,0,0
"LOS HIJOS DE SANCHEZ J LLC",103198,0,0,0,0
"LRR PECOS VALLEY, LLC",511724,0,0,0,0
"LUXE OPERATING LLC",511772,287489,984164,22116126,1641935
"M.A.C. RESOURCES INC.",517708,0,0,0,0
"MACARTHUR MIDSTREAM, LLC",102064,0,0,0,0
"MADISON AND WRIGHT LLC",521182,0,0,0,0
"MAJESTIC OIL & GAS HOLDING CO.",102333,1940,0,0,0
"MAJESTIC PETROLEUM SERVICES LLC",522709,10,0,0,0
"MANTI TARKA PERMIAN OP, LLC",524907,514961,1879746,30692920,2163436
"MAPLE ENERGY HOLDINGS, LLC",525265,82470,568930,21838106,2381896
"MARSHALL & WINSTON, INC.",527850,3241,0,0,0
"MARTIN, JIMMY INC",530596,113,0,0,0
"MAS OPERATING CO.",531346,609,0,0,0
"MAYJAC I, LLC",536431,8,0,0,0
"MBX OPERATING LLC",101199,0,0,330,0
"MCDONALD, RICHARD A.",546696,0,0,0,0
"MCDONNOLD OPERATING, INC.",548163,10962,0,0,0
"MCM EXPLORATION COMPANY, LLC",552165,0,0,0,0
"MDC TEXAS OPERATOR LLC",556511,154367,1999560,39412126,3185536
"MECO IV, LLC",557076,0,0,0,0
"MESQUITE SWD INC",561951,9283,0,0,0
"MEWBOURNE OIL COMPANY",562560,6693,58757,59501976,6394384
"MILESTONE ENVIRO SERVICES, LLC",567101,0,0,0,0
"MILESTONE WATERHORSE, LLC",102329,0,0,0,0
"MOMENTUM OPERATING CO., INC.",574324,0,0,0,0
"MUDDY RIVER PETROLEUM, LLC",101102,0,0,0,0
"MULESHOE CRUDE, LP",593035,638,35,0,0
"MURPHREE ENERGY, INC.",594324,4387,0,0,0
"N & B OIL AND GAS LLC",598288,985,0,74324,220
"NESITOR WEST TEXAS LLC",604737,0,0,0,0
"NEW HORIZON GLOBAL, INC.",606487,4,0,0,0
"NEWMAN CUBED, INC.",607394,44,0,0,0
"NGL WATER SOLUTIONS PERMIAN, LLC",609265,0,0,0,0
"NOBLE ENERGY INC",611665,67499503,191634962,947258,101614
"NORTHSTAR RESOURCES, LLC",103475,0,0,1704956,66392
"NOTTING HILL ENERGY, LLC",101230,0,0,2498487,234256
"OCCIDENTAL PERMIAN LTD.",617544,1643,26687,502715,1
"OCTANE ENERGY OPERATING, LLC",618148,0,0,0,0
"OFFSPRING WELL SALVAGE",618934,0,0,0,0
"ON POINTE OPERATING LLC",622896,4836,0,10,418
"ORIGIN PRODUCTION GROUP LLC",625629,98,0,0,0
"ORLA PETCO, INC.",626210,89921,41324,0,0
"OVERFLOW ENERGY PERMIAN, LLC",628566,0,0,0,0
"OWL OPS LLC",100332,38447,86662,0,0
"OXBOW PETROLEUM, LLC",630065,0,0,0,0
"OXY USA INC.",630591,4707306,10380636,1589559,287118
"OXY USA WTP LP",630555,36500675,81263618,918724,114975
"PA PROSPECT CORPORATION",631632,0,0,0,0
"PA PROSPECT LLC",631641,0,0,0,0
"PARSLEY ENERGY OPERATIONS, LLC",642652,4963963,9832436,17409,0
"PBEX OPERATIONS, LLC",630732,2938,26310,0,0
"PCORE EXPLORATION & PROD II LLC",630725,60458,104067,0,0
"PDC PERMIAN, INC.",646832,5604371,22225362,208186478,24029554
"PDEH LLC",646827,0,0,0,0
"PEARCE, ROY F., JR.",647256,10284,0,0,0
"PENNANT DEV. AND PROD., LLC",651797,971,0,0,0
"PERIMETER RESOURCE COMPANY",653651,11749,0,0,0
"PERMIAN RESOURCES OPERATING, LLC",100852,54119177,177116565,179164105,21191409
"PERMIAN SOLUTIONS LLC",655846,0,0,0,0
PETEX,659782,41524,16294,0,0
"PETRO-HUNT PERMIAN, LLC",100313,0,0,65394847,3479448
"PETROPLEX ENERGY INC.",660886,608650,445307,1060907,7461
"PILOT WATER SOLUTIONS PERMIANLLC",665593,0,0,0,0
"PIONEER NATURAL RES. USA, INC.",665748,3300573,7042549,11343,0
"PITTS ENERGY CO.",666430,172085,1529642,474334,18362
"PRENSORUS ENERGY, LLC",676080,0,0,0,0
"PRI OPERATING, LLC",676550,22857292,39877475,0,0
"PRIEST PETROLEUM CORPORATION",677560,0,0,0,0
"PRIMEXX OPERATING CORPORATION",677852,10961637,27861252,0,0
"PROREX ENERGY, LLC",681447,0,0,0,0
"PUTNAM, PAUL OIL",683548,2504,0,0,0
"PYOTE DISPOSAL COMPANY",684400,2451,0,0,0
"Q NATURAL RESOURCES, LLC",684427,2708,0,20,5
"RANGER 40 PETROLEUM, LLC",691714,2717,0,0,0
"RATTLER MIDSTREAM OPERATING LLC",694704,0,0,0,0
"RAW PRODUCTION",694866,52139,0,0,0
RAYDEN,695567,0,0,68604,0
"RBJ & ASSOCIATES, LP",695758,0,0,0,0
"RE-OP CORP.",695742,0,0,0,0
"RECOVERY OPERATING LP",696542,0,0,687044,0
"REEVES COUNTY SWD, LLC",698562,0,0,0,0
"REPUBLIC EES, LLC",702639,0,0,0,0
"RESOLUTE NATURAL RES. CO., LLC",703352,841681,4222360,182221514,22087060
"RETURN DISPOSAL, LLC",703562,0,0,0,0
"REV MIDSTREAM SWD TX #1, LLC",703604,0,0,0,0
"RING ENERGY, INC.",712382,4945,989,0,0
"RIO OIL AND GAS (PERMIAN) II,LLC",712803,386353,429393,111263272,10495829
"ROCKPORT ENERGY SOLUTIONS LLC",100303,270623,612252,0,0
"ROSEMARY OIL & GAS",728257,0,0,0,0
"ROVER PETROLEUM OPERATING, LLC",730462,0,0,6139568,526566
"RRIG EXPLORATION, LLC",732177,0,0,734,0
"RSS WATER SERVICES LLC",100658,0,0,0,0
"SAGA PETROLEUM LLC OF COLORADO",743213,0,0,0,0
"SATURN OIL AND DEVELOPMENT CORP.",748757,0,0,0,0
"SCOUT ENERGY MANAGEMENT LLC",760218,2192213,7555569,0,0
"SELECT AGUA LIBRE MIDSTREAM, LLC",765601,0,0,0,0
"SELECT ENERGY SERVICES, LLC",765602,0,0,0,0
"SELECT WATER SOLUTIONS, LLC",101691,0,0,0,0
"SHELL WESTERN E&P",774719,8,0,0,0
"SHENANDOAH PETROLEUM CORPORATION",775563,22501,0,0,0
"SHERIDAN PRODUCTION COMPANY, LLC",775854,0,0,462419,0
"SINGLE BARREL OIL AND GAS LLC",784823,6076,0,0,0
"SMC OIL & GAS, INC.",789634,664,0,0,0
"SOLARIS WATER MIDSTREAM, LLC",801148,0,0,0,0
"SONORAN ENERGY INC.",802215,0,0,0,0
"STOIC OPERATING COMPANY LLC",100114,10,0,0,0
"T & C OIL, INC.",833806,3732,0,0,0
"TALL CITY BRINE LLC",835516,0,0,0,0
"TALL CITY OPERATIONS III LLC",835518,7978937,19914261,7554554,726782
"TAP ROCK OPERATING, LLC",836003,257258,583635,0,0
"TARPON RESOURCES, LP",101006,0,0,2339206,0
"TC OIL AND GAS, LLC",840303,0,0,0,0
"TEJAS PERMIAN OPERATING, LLC",841313,0,0,0,0
"TEKE PRODUCTION LLC",100657,498,0,0,0
"TERRAIN WATER SOLUTIONS, LLC",843288,0,0,0,0
"THOMPSON, J. CLEO",855610,0,0,0,0
"TITUS OIL & GAS PRODUCTION, LLC",880622,78879,389230,22075231,3695474
"TOG OPERATING, LLC",101419,0,0,4933364,1062439
"TRACE NATURAL RESOURCES LLC",863798,112,0,155,313
"TRIGO OIL AND GAS, LLC",869701,21752,211259,1147130,54994
"TRINITY ENVIRO SWD I, L.L.C.",869989,0,0,0,0
"TRP OPERATING LLC",872117,1690805,11316793,92229195,14284603
"TS OIL, LLC",101988,5401,6819,16391,71
"U.S. ENERGY DEVELOPMENT CORP",875462,3600370,12792578,6714456,491931
"UPCURVE ENERGY, LLC",878506,7310688,23751185,56712882,8432655
"VALLEE OIL & GAS COMPANY",100546,0,0,0,0
"VAQUERO OPERATING",882776,22,0,0,0
"VELOCITY WATER SOLUTIONS, LP",884481,0,0,0,0
"VICTERRA ENERGY, LLC",885213,0,0,1218634,51832
"VISTA WATER SOLUTIONS PB, LLC",886309,0,0,0,0
"VITAL ENERGY, INC.",100951,17104120,56256452,15827906,1233825
"VTX ENERGY OPERATING, LLC",101377,32352334,63691952,1050922,284283
"WALSH & WATTS, INC.",895060,38268,0,0,0
"WATERBRIDGE STATELINE LLC",900327,0,0,0,0
"WATERBRIDGE TEXAS OPERATING LLC",900329,0,0,0,0
"WES WATER HOLDINGS LLC",101366,0,0,0,0
"WESTERN DISPOSAL SYSTEMS, INC.",911878,0,0,0,0
"WESTERN GLOBAL OIL, INC",911915,1762,0,0,0
"WHITE'S INDUSTRIAL ENGINE'S",919182,0,0,0,0
"WICHITA WATER LLC",921665,0,0,0,0
"WM ENERGY SVCS OF TX, LLC",935432,0,0,0,0
"WOLF ENERGY, INC.",935534,7,0,0,0
"WOLFCAMP WATER PARTNERS, LLC",935636,0,0,0,0
"WPX ENERGY PERMIAN, LLC",942623,153560,638657,123743076,18850041
"WWM OPERATING, LLC",945289,0,0,0,0
"XTO ENERGY INC.",945936,5425,24425,37708048,3330802
Total,,508746129,1511621578,5485930094,610043583
