"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: MIDLAND"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"THOMPSON, J. CLEO",855610,1319,7793,0,0
"TRILOGY OPERATING, INC.",869713,22563,16597,0,0
"TRINIDAD ENERGY, LLC",869962,0,0,0,0
"TRINITY ENVIRO SWD I, L.L.C.",869989,0,0,0,0
"TRIPOD OIL AND GAS 3 LLC",102182,1938,0,0,0
"V-F PETROLEUM INC.",880375,15515,22663,0,0
"VAQUERO HUNTER INC.",882761,46309,176037,0,0
"VAQUERO PERMIAN, LLC",101661,2691,12470,0,0
"VELOCITY WATER SOLUTIONS, LP",884481,0,0,0,0
"VENCER ENERGY, LLC",884498,823401,8213225,0,0
"VITAL ENERGY, INC.",100951,3886394,11357507,0,0
"WATER ENERGY SERVICES, LLC",900331,0,0,0,0
"WATUSI ENERGY LLC",902551,6787,10525,0,0
"WESTERN DISPOSAL SYSTEMS, INC.",911878,0,0,0,0
"WICHITA WATER LLC",921665,0,0,0,0
"WILSON SYSTEMS, INC.",930380,0,0,0,0
"WINN OPERATING, LLC",100109,432861,2006896,0,0
"WTG EXPLORATION",945220,16184,2707,0,0
"XTO ENERGY INC.",945936,144255030,694453952,4399033,68304
Total,,1379471252,4837865814,22499342,1264961
