"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: HOWARD"
"Date Range: Jan 2020 - Mar 2026"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"ARLINGTON 33-40 B UNIT",53322,08," ",209429,575185,0,0
"ARLINGTON 33-40 C UNIT",53174,08," ",113582,454487,0,0
"ARLINGTON 33-40 D UNIT",54945,08," ",216595,615047,0,0
"ARON 41-32",50289,08," ",504940,918111,0,0
"ARROW PEAK 7-6 UNIT",56261,08," ",632564,1255222,0,0
"ARTHUR STALLINGS",43662,08," ",28766,100409,0,0
"ASRO 13 UNIT",49862,08," ",998930,9555669,0,0
"ASRO JR. UNIT",53803,08," ",696481,3216026,0,0
"ATM 11",46945,08," ",4295,5400,0,0
"AUGUSTA 27",44980,08," ",4576,0,0,0
"AUSTIN 22",46656,08," ",0,0,0,0
"AUSTIN 22-15 UNIT",51909,08," ",194101,254753,0,0
"AUSTIN XL1 22-15-10",60743,08," ",310770,552165,0,0
"AUSTIN XL2 22-15-10",60745,08," ",182100,466216,0,0
"AUSTIN XL3 22-15-10",60746,08," ",263801,430461,0,0
"AUSTIN XL4 22-15-10",60747,08," ",213212,406119,0,0
AVAMPATO,58827,08," ",0,0,0,0
"AXIS SWD",55080,08," ",0,0,0,0
"B-SIDE 21-16",56960,08," ",224356,477745,0,0
"B. PHILLIPS ""20""",40759,08," ",206,9325,0,0
"B. PHILLIPS ""20A""",41819,08," ",7891,92088,0,0
"B. PHILLIPS ""21""",40649,08," ",14293,70045,0,0
BADGER,51244,08," ",0,0,0,0
BADGER,54712,08," ",0,0,0,0
"BADGER SWD",51428,08," ",0,0,0,0
"BAKER TRUST",38830,08," ",3856,0,0,0
"BALBOA A",53060,08," ",787614,2309385,0,0
"BALBOA B",53061,08," ",661037,2111698,0,0
"BALBOA C",53062,08," ",413302,1368695,0,0
"BALBOA D",53089,08," ",664224,2354360,0,0
"BALLARD 33",44537,08," ",13195,64805,0,0
"BALLARD 33A",44189,08," ",6801,33914,0,0
"BALLARD 35",45484,08," ",10676,66921,0,0
"BANDOLERO 5-8",54004,08," ",165742,253352,0,0
BAPTIST,43239,08," ",10543,26782,0,0
"BARBER ""N15""",36317,08," ",4475,40801,0,0
"BARBER -1-",36190,08," ",1403,44206,0,0
"BARBER -11-",36195,08," ",6704,115484,0,0
"BARBER -15-",36196,08," ",3326,73047,0,0
"BARCLAYS B UNIT",50687,08," ",271901,738969,0,0
"BARCLAYS UNIT",49389,08," ",192928,607179,0,0
BARNES,45191,08," ",8601,13484,0,0
"BARNES 11",38865,08," ",6462,28359,0,0
"BARNES 3",40109,08," ",41671,353465,0,0
"BARNES 3A",44034,08," ",7610,75719,0,0
"BARNES DEEP",44487,08," ",6385,33581,0,0
BARNETT,38786,08," ",16531,59983,0,0
BARNETT,39955,08," ",840,0,0,0
"BARNETT -A-",04461,08," ",71,0,0,0
"BARNETT 4",42926,08," ",36,78,0,0
"BARNETT DEEP",43265,08," ",0,0,0,0
"BARNETT DEEP 2128",47555,08," ",71151,31018,0,0
"BARNETT P-S",10412,08," ",1417,0,0,0
BARNETT-CONNALLY,09774,08," ",142,0,0,0
"BARNETT-CONNALLY -B-",10008,08," ",932,0,0,0
"BARR 10-8 B UNIT",58400,08," ",284340,171162,0,0
BATES,08910,08," ",1398,0,0,0
BATES,25644,08," ",1949,0,0,0
"BATES ""A""",29471,08," ",94,0,0,0
"BATES 1",52359,08," ",0,0,0,0
"BATES 13",39496,08," ",14828,12655,0,0
"BATES, D. R.",26774,08," ",212,0,0,0
"BATES, D.R. ""A""",30529,08," ",1919,0,0,0
"BATES, MAGGIE",04453,08," ",0,0,0,0
"BATES, MAGGIE ""E""",30594,08," ",1182,0,0,0
"BATH 1",43075,08," ",39758,117551,0,0
"BATJER, PATTI",41852,08," ",12098,0,0,0
"BATJER, PATTI -B-",41781,08," ",37030,0,0,0
"BATJER, PATTI -C-",41851,08," ",38814,0,0,0
"BATTJER, PATTI",48131,08," ",3855,24,0,0
"BAUER-GOLIAD MIPA PSA",55845,08," ",639941,698103,0,0
"BAUER-GOLIAD PSA B",64134,08," ",202645,271055,0,0
"BAUER-GOLIAD PSA C",64135,08," ",151730,146679,0,0
"BAUER-GOLIAD PSA D",63624,08," ",219161,235392,0,0
BAXTER,53723,08," ",308597,557890,0,0
"BEACH A",52584,08," ",439425,659035,0,0
"BEACH B",54867,08," ",206286,370049,0,0
"BEACH C",54971,08," ",243459,345443,0,0
"BEACH D",54976,08," ",236435,439211,0,0
"BEACH SWD",57721,08," ",0,0,0,0
"BEALL ""18""",40882,08," ",2,0,0,0
"BEALL 18A",43068,08," ",34888,58323,0,0
"BEALL 28",44322,08," ",50920,445256,0,0
"BEALL SW 18",42534,08," ",7307,89065,0,0
"BEALL SWD",50468,08," ",0,0,0,0
"BEALL UNIT 18",46655,08," ",1,16,0,0
"BEARD 18",43076,08," ",0,505,0,0
"BEARTOOTH 05B",54910,08," ",483277,794811,0,0
"BEARTOOTH 05C",55043,08," ",344860,788223,0,0
"BEESLY A",58050,08," ",461315,940648,0,0
"BEESLY B",51184,08," ",407044,1038298,0,0
"BEESLY C",51194,08," ",291062,1576268,0,0
"BEESLY D",51249,08," ",312441,1126559,0,0
"BELL, A. M.",02908,08," ",290893,1228,0,0
"BELL, A. M.",11061,08," ",1370,0,0,0
"BELL, GEORGIA",02889,08," ",16638,0,0,0
BELLAM,02896,08," ",41240,0,0,0
"BELLE STARR UNIT 36-37",53057,08," ",1077519,1177699,0,0
BELLNOLIA,02897,08," ",23871,0,0,0
BENES,55188,08," ",2128599,6080896,0,0
BENNETT,42950,08," ",178,170,0,0
BERNARD,52880,08," ",2251889,8121328,0,0
"BERNIE SHAW",42832,08," ",0,0,0,0
"BERRY 27",45184,08," ",5774,108397,0,0
"BETTY LEE 32",44110,08," ",41873,224593,0,0
"BIDDISON 23",44534,08," ",4067,24228,0,0
"BIG DADDY A",50229,08," ",303407,763103,0,0
"BIG DADDY B",50246,08," ",787307,1975857,0,0
"BIG EL 45-04",49234,08," ",319171,789074,0,0
"BIG EL 45-04 B",57674,08," ",220340,700321,0,0
"BIG EL 45-04 C",57675,08," ",485515,1086003,0,0
"BIG EL 45-04 D",57677,08," ",747348,2027500,0,0
"BIG ERN",47383,08," ",11210,38434,0,0
"BIG RED",33877,08," ",10403,8471,0,0
"BIG ROCK",64696,08," ",0,0,0,0
"BIG SPRING BRINE",48653,08," ",0,0,0,0
"BIG SPRING BRINE",60992,08," ",0,0,0,0
"BIG SPRINGS BRINE STATION",30477,08," ",0,0,0,0
"BIGBY 17-29 B UNIT",54319,08," ",1966938,2871352,0,0
"BIGHORN 33E",56297,08," ",264125,504443,0,0
"BIGHORN 33G",56321,08," ",302379,702832,0,0
"BIGHORN HORIZONTAL UNIT",56296,08," ",77104,65078,0,0
"BIGONY 1",42813,08," ",6606,84079,0,0
"BIGONY 48",42513,08," ",3199,22613,0,0
"BILLIE JO 33",43407,08," ",13429,63946,0,0
"BINIE 18-27 A UNIT",55902,08," ",1302127,2384574,0,0
"BIRKHEAD ""14""",36279,08," ",0,0,0,0
"BISCUIT '18' UNIT",43590,08," ",8111,54636,0,0
"BISHOP,MATTIE",22937,08," ",10427,2024,0,0
"BLACK PEARL 11-14 UNIT 1",52671,08," ",1577294,10092527,0,0
"BLACK PEARL 11-14 UNIT 2",53827,08," ",1540430,9023685,0,0
"BLAGRAVE ""35A""",39384,08," ",37342,112598,0,0
"BLAGRAVE 17",42785,08," ",7881,14307,0,0
"BLAGRAVE A1",63155,08," ",445997,442604,0,0
"BLAGRAVE SWD 19",52001,08," ",0,0,0,0
BLASSINGAME,30947,08," ",2,0,0,0
"BLASTER THE BURRO 13-19 A",56871,08," ",567141,2387305,0,0
"BLASTER THE BURRO 13-19 B",56867,08," ",454170,1398913,0,0
"BLASTER THE BURRO 13-19 C",56870,08," ",400361,1841028,0,0
"BLASTER THE BURRO 13-19 D",56895,08," ",412602,1907114,0,0
"BLASTER THE BURRO 13-19 E",56887,08," ",378306,2253955,0,0
"BLAZE THE BRONCO 28-21 A",58430,08," ",345754,1372523,0,0
"BLAZE THE BRONCO 28-21 B",58431,08," ",300876,815069,0,0
"BLUE FESCUE",53440,08," ",333481,986418,0,0
"BLUE FESCUE C",53586,08," ",332222,672030,0,0
"BLUEBONNET 44-5",53856,08," ",20129,7087,0,0
"BOA 12",42441,08," ",7400,28545,0,0
"BOA 12",43762,08," ",0,0,0,0
"BOA NORTH",45820,08," ",7617,6771,0,0
"BOA NORTH",45953,08," ",27034,33123,0,0
"BOND ""21""",36295,08," ",0,0,0,0
"BOND ""22""",36280,08," ",6564,64034,0,0
"BOND 21",36792,08," ",3370,42766,0,0
"BOND 8",52263,08," ",0,0,0,0
"BONNIE PARKER UNIT 32-41",53335,08," ",1508767,2414173,0,0
"BOSQUE UNIT 6",46400,08," ",7994,37544,0,0
"BOTSFORD 25",40248,08," ",23889,19542,0,0
"BOW TIE 41-44",50203,08," ",817492,1564149,0,0
"BOW TIE E",62677,08," ",82197,109276,0,0
"BOW TIE F",62678,08," ",57000,76980,0,0
"BOWEN, ANNA",41116,08," ",559,0,0,0
"BOWEN, ANNA B.",41117,08," ",61,0,0,0
"BOWEN, JOHN",41642,08," ",8243,0,0,0
BOWLIN,63706,8A," ",7197,1189,0,0
"BOX UNIT 42-55",55156,08," ",1314310,2875736,0,0
"BOYD 3",44144,08," ",7713,20099,0,0
"BR 22",43522,08," ",80995,957204,0,0
"BRADSHAW 20",44829,08," ",2347,6677,0,0
BRIANNA,38614,08," ",9459,27650,0,0
BROADDUS,30452,08," ",2074,0,0,0
"BROADDUS -A-",28057,08," ",168,0,0,0
"BROADDUS -C-",28441,08," ",614,0,0,0
"BROKEN ARROW 55-54-1-12",52155,08," ",635895,1618784,0,0
BRONAUGH,36678,08," ",0,0,0,0
BRONAUGH,52348,08," ",2661,3027,0,0
"BRONCO 11",44931,08," ",1066,6048,0,0
"BROOKS 11",45063,08," ",516,1159,0,0
"BROOKS 24",46803,08," ",0,0,0,0
"BROOKS 30",54229,08," ",987,17689,0,0
"BROSIG 6",40234,08," ",29211,11968,0,0
BROUGHTON,41414,08," ",4747,5302,0,0
BROUGHTON,42487,08," ",0,0,0,0
BROUGHTON,52581,08," ",4760,18928,0,0
"BROUGHTON ""30""",42551,08," ",7382,29865,0,0
"BROUGHTON '30A'",43905,08," ",8457,38490,0,0
"BROUGHTON '30B'",46371,08," ",7338,29102,0,0
"BROUGHTON 15C",52838,08," ",230198,487399,0,0
"BROUGHTON 15D",52837,08," ",316714,456172,0,0
"BROUGHTON 23",43360,08," ",4134,15965,0,0
"BROUGHTON 23A",43250,08," ",2439,12996,0,0
"BROUGHTON 23B",43685,08," ",1523,4323,0,0
"BROUGHTON 23C",43742,08," ",1729,7445,0,0
"BROUGHTON 23D",43972,08," ",3514,18099,0,0
"BROUGHTON 36 FEE",41870,08," ",5238,37702,0,0
"BROUGHTON 6",43973,08," ",360,2307,0,0
"BROUGHTON TRUST 43",44045,08," ",16853,158539,0,0
"BROUGHTON WISE 18 19 WA",49983,08," ",102792,182100,0,0
BROUGHTON-WISE,133914,08," 1",0,0,1640,0
"BROWN 23",44350,08," ",39818,94936,0,0
"BRUT 40-33",49774,08," ",144730,262842,0,0
"BRUT A",59328,08," ",111736,168749,0,0
"BRUT B",59306,08," ",117818,273154,0,0
"BRUT C",59295,08," ",268063,420890,0,0
"BRUT D",59296,08," ",223549,320337,0,0
"BRUT E",59294,08," ",139173,365257,0,0
"BRUTUS BUCKEYE 28-40 A",57267,08," ",692266,1849317,0,0
"BRUTUS BUCKEYE 28-40 B",57268,08," ",214428,423265,0,0
"BRUTUS BUCKEYE 28-40 C",57326,08," ",834040,3525704,0,0
"BRUTUS BUCKEYE 28-40 D",57270,08," ",355049,1798210,0,0
"BRUTUS BUCKEYE 28-40 E",57271,08," ",917411,3545921,0,0
"BRUTUS BUCKEYE 28-40 F",57275,08," ",251588,725089,0,0
"BRUTUS BUCKEYE 28-40 G",57279,08," ",795242,2038853,0,0
"BUCHANAN ""8""",41528,08," ",0,0,0,0
"BUCHANAN -B-",28035,08," ",402,2490,0,0
"BUCHANAN 10",44481,08," ",1536,3057,0,0
"BUCHANAN 25",46176,08," ",0,18,0,0
"BUCHANAN 3111",40053,08," ",24146,3916,0,0
"BUCHANAN 42",44858,08," ",1432,0,0,0
"BUCHANAN B 13-12 (ALLOC-E)",55733,08," ",444760,1475057,0,0
"BUCHANAN B 13-12 (ALLOC-F)",56375,08," ",244846,838113,0,0
"BUCHANAN B 13-12 (ALLOC-G)",56487,08," ",283478,848175,0,0
"BUCHANAN B 13-12 (ALLOC-H)",56446,08," ",481318,1279287,0,0
"BUD SWD",50038,08," ",0,0,0,0
BUFFALO,57374,08," ",1076458,2728784,0,0
"BUFFALO E",57426,08," ",616408,2229220,0,0
"BUFFALO F",57475,08," ",654776,2281534,0,0
"BUFFALO G",60616,08," ",174004,744174,0,0
"BUGG 22",43412,08," ",5164,10320,0,0
"BULL 23A",56364,08," ",525796,966696,0,0
"BULL 23C",56244,08," ",487779,945008,0,0
"BULL WINKLE",36099,08," ",21426,14423,0,0
BULLFROG,51814,08," ",0,0,0,0
"BULLFROG 47 NORTH A UNIT",51727,08," ",426612,2259237,0,0
"BULLFROG 47 NORTH UNIT",50244,08," ",377995,2210028,0,0
"BULLFROG 47 SOUTH UNIT",50989,08," ",680605,2726636,0,0
"BULLFROG 47 SW A",56135,08," ",425459,988942,0,0
"BULLFROG 47 SW UNIT",55369,08," ",1111752,3264783,0,0
BULLSEYE,48396,08," ",6046,0,0,0
"BURCHELL 2",38956,08," ",301,444,0,0
"BURCHELL 20",43209,08," ",1590,0,0,0
"BURCHELL 2A",39387,08," ",0,0,0,0
"BURCHELL 2A",39726,08," ",4950,35179,0,0
BURGUNDY,53716,08," ",333263,698238,0,0
BURKHART,66865,8A," ",24125,0,0,0
"BURNETT 17",42795,08," ",3562,19917,0,0
"BURNETT 17",44208,08," ",3716,11134,0,0
"BUTCH CASSIDY UNIT 33-40",57431,08," ",537829,753055,0,0
BUTTERCUP,52680,08," ",2305510,4883029,0,0
"BUZ STATE 24",47540,08," ",23598,56315,0,0
"BUZZARD 6",43802,08," ",47300,566866,0,0
"BYNUM 46",43086,08," ",256,1644,0,0
"BYRD-JACKSON 25 FEE",46519,08," ",141,857,0,0
"C.D. READ TRUST 34",47386,08," ",0,0,0,0
"CADE 29",44840,08," ",5212,108963,0,0
"CAIRO 10-4-59",59326,08," ",222618,70101,0,0
"CALLIE ""42-B""",38560,08," ",0,0,0,0
"CAMPBELL, W. C.",07082,08," ",0,0,0,0
CAO,34654,08," ",0,0,0,0
"CAPTAIN CANE 18-30 A",54305,08," ",949015,3480308,0,0
"CAPTAIN CANE 18-30 B",54303,08," ",473470,1938646,0,0
"CAPTAIN CANE 18-30 C",54304,08," ",494170,1777158,0,0
"CAPTAIN CANE 18-30 D",54300,08," ",582571,1789709,0,0
"CAPTAIN CANE 18-30 E",54373,08," ",788123,3633314,0,0
"CAPTAIN CANE 18-30 F",54449,08," ",312424,1708920,0,0
"CARELESS WHISPER I 19-15",62639,08," ",372300,274828,0,0
"CARELESS WHISPER J 19-15",62640,08," ",318759,365035,0,0
"CARELESS WHISPER K 19-15",62642,08," ",263788,255991,0,0
"CARELESS WHISPER L 19-15",62641,08," ",181142,267648,0,0
CAROLYN,38414,08," ",0,0,0,0
CARPENTER,33663,08," ",0,0,0,0
"CARPENTER 11-31 A UNIT",55683,08," ",1206957,1831376,0,0
"CARPENTER 11-31 B UNIT",56417,08," ",1007752,1097756,0,0
"CARROLL 17",43796,08," ",1617,9914,0,0
"CARROLL NORTH 17E",56578,08," ",246611,392200,0,0
"CARROLL NORTH 17G",56579,08," ",486212,860436,0,0
"CARROLL NORTH 17X",56580,08," ",500558,986085,0,0
"CARROLL SOUTH 17E",57090,08," ",299141,534811,0,0
"CARROLL SOUTH 17F",57133,08," ",243305,397729,0,0
"CARROLL SOUTH 17G",57071,08," ",289068,689069,0,0
"CARROLL SOUTH 17X",57072,08," ",270756,615362,0,0
"CASSITY 20",45262,08," ",9000,31231,0,0
"CATCHER 40",44974,08," ",12201,52446,0,0
"CATCHER 40X",46576,08," ",8017,20478,0,0
CATES,63126,8A," ",976,0,0,0
"CATES 24",45312,08," ",15877,233,0,0
"CATHEY 16",44360,08," ",927,175,0,0
"CATHEY 16A",42963,08," ",2494,4692,0,0
"CATHEY 2",40059,08," ",42205,1345,0,0
"CATHEY 2906",40110,08," ",1590,455,0,0
"CATHEY 6",43349,08," ",2766,786,0,0
"CECIL 6",41752,08," ",11570,42834,0,0
"CECIL MANSFIELD",44743,08," ",11,0,0,0
"CFT 26",45101,08," ",3236,46632,0,0
CHALK,41321,08," ",8793,0,0,0
CHALK,41645,08," ",65100,0,0,0
CHALK,42219,08," ",33869,0,0,0
CHALK,48129,08," ",67,0,0,0
"CHALK ""A""",41654,08," ",8203,0,0,0
"CHALK -A-",41129,08," ",42215,0,0,0
"CHALK -A-",42210,08," ",34423,5968,0,0
"CHALK ESTATE",153661,08," 22",0,0,1568,0
"CHALK ESTATE",22542,08," ",0,0,0,0
"CHALK ESTATE",41224,08," ",30616,16980,0,0
"CHALK SEC. 95",281862,08," 2",0,0,50978,1625
"CHALK SEC. 95",290411,08," 1",0,0,31594,6
"CHALK SEC. 95",30848,08," ",0,1145,0,0
"CHALK, G. O.",41207,08," ",38587,24269,0,0
"CHALK, G. O.",42240,08," ",270412,0,0,0
"CHALK, G. O. -C-",41213,08," ",246847,41422,0,0
"CHALK, G. O. -D-",41216,08," ",357162,98612,0,0
"CHALK, G. O. -F-",41233,08," ",33781,9583,0,0
"CHALK, G. O.-A-",41210,08," ",50070,24352,0,0
"CHALK, G. O.-G-",41220,08," ",160892,59023,0,0
"CHALK, G.O.-B-",41211,08," ",125918,40868,0,0
"CHALK, G.O.-E-",41219,08," ",119286,31937,0,0
"CHALK, MARY",41716,08," ",26186,0,0,0
"CHALK, MARY -C-",41720,08," ",4878,0,0,0
"CHALK, MARY -D-",41721,08," ",2918,0,0,0
"CHALK, MARY -G-",41665,08," ",2561,0,0,0
"CHALK, MARY, -BE-",41655,08," ",2377,0,0,0
"CHALK, OTIS",41051,08," ",168641,0,0,0
"CHALK, OTIS",41322,08," ",24968,0,0,0
"CHALK, OTIS",46457,08," ",56608,0,0,0
"CHALK, OTIS",47929,08," ",7823,0,0,0
"CHALK, OTIS /EO/",42211,08," ",24292,8723,0,0
"CHALK, OWEN",21650,08," ",34,322,0,0
"CHALK, OWEN",292991,08," 28W",0,0,765,0
"CHALK, SLOAN",286894,08," 23",0,0,1950,0
"CHALK, SLOAN",41223,08," ",67882,29991,0,0
"CHALK,MARY",41221,08," ",150485,38421,0,0
"CHAMPAGNES SWD",53520,08," ",0,0,0,0
"CHAMPIONS 21",45030,08," ",612,1247,0,0
"CHANCE 24",46815,08," ",2944,1527,0,0
CHANDLER,05326,08," ",0,0,0,0
"CHANEY MOORE",40822,08," ",11612,0,0,0
"CHANEY MOORE SWD",42187,08," ",0,0,0,0
"CHAPARRAL UNIT A1",56293,08," ",1184683,1555306,0,0
"CHAPMAN 21",44482,08," ",9245,36667,0,0
"CHAPMAN, J.O.",29175,08," ",18,0,0,0
"CHARLIE OREDIGGER 22-25 A",59775,08," ",683878,2320131,0,0
"CHARLIE OREDIGGER 22-25 B",59711,08," ",590326,2241130,0,0
"CHARLIE OREDIGGER 22-25 C",59797,08," ",482401,2293992,0,0
"CHARLIE OREDIGGER 22-25 D",59712,08," ",907459,3882917,0,0
"CHARLIE OREDIGGER 22-25 E",59720,08," ",454393,1906454,0,0
CHEEK,42536,08," ",6824,11672,0,0
"CHEEK UNIT A 28-21",48490,08," ",669783,1540529,0,0
CHERRY,45344,08," ",10945,65960,0,0
"CHERRY 24",45519,08," ",0,0,0,0
"CHERRY 24",54230,08," ",8326,142116,0,0
"CHERRY, E. F.",09293,08," ",0,0,0,0
"CHERRY, EDGAR F. -A-",09453,08," ",0,0,0,0
"CHERRY, J. V.",26124,08," ",0,0,0,0
"CHERRY, J.V.""A""",29137,08," ",0,0,0,0
"CHEVRON UNIT 03-38",50992,08," ",1220723,2317895,0,0
"CHEVRON UNIT 03-56",55261,08," ",1143662,1979671,0,0
"CHIEF 33-28",50771,08," ",217890,256812,0,0
"CHOATE ""16""",298258,08," 4",0,0,1972,0
"CHOATE ""16""",36318,08," ",437,12441,0,0
"CHOATE ""16"" UNIT",36290,08," ",2044,26041,0,0
"CHRISTIAN 48",45640,08," ",4126,60448,0,0
"CHRISTIAN 48A",49819,08," ",430,126,0,0
CITIES-REED,42227,08," ",11795,0,0,0
"CITY OF BIG SPRING 10-B",30060,08," ",0,0,0,0
"CJ BALLARD 35",46881,08," ",10508,43488,0,0
CLANTON,30613,08," ",0,0,0,0
"CLANTON -A-",30505,08," ",0,0,0,0
"CLANTON 36",44711,08," ",0,0,0,0
"CLANTON 36A",46235,08," ",0,0,0,0
CLAPTON,43313,08," ",91,184,0,0
CLAPTON,46391,08," ",0,0,0,0
"CLARA ADAMS UNIT 37",50834,08," ",300,271,0,0
"CLARICE STARLING",52822,08," ",605868,1405534,0,0
"CLARICE STARLING JESSUP A",55628,08," ",428390,813239,0,0
"CLARICE STARLING SUNDOWN B",55629,08," ",475448,1143133,0,0
"CLARICE STARLING SUNDOWN D",55700,08," ",567089,1135415,0,0
CLARK,45662,08," ",10435,67351,0,0
"CLARK 27",40613,08," ",6146,14226,0,0
"CLARK A",45801,08," ",13211,78509,0,0
"CLARK B",47621,08," ",5149,65046,0,0
